
Tran 08/17/2022 15:47:00 Tigard
08/17/2022	15:47:00	Tigard	OR	USA
Vimshottari	Dasha	(to 2 levels)
Calculated from the	Geocentric 	Moon
365.25	days per year used
Range: 	11/29/1998	to	12/01/2238
Columns are	Age	 Dashas	 Start Date	Time	
0	ME	ME	11/29/1998  20:00	
2	ME	KE	01/13/2001  07:14	
3	ME	VE	01/10/2002  12:11	
5	ME	SU	11/10/2004  09:11	
6	ME	MO	09/16/2005  20:17	
8	ME	MA	02/16/2007  06:47	
9	ME	RA	02/13/2008  11:44	
11	ME	JU	09/01/2010  21:02	
14	ME	SA	12/07/2012  18:38	
16	KE	KE	08/17/2015  21:47	
17	KE	VE	01/14/2016  01:14	
18	KE	SU	03/15/2017  04:14	
18	KE	MO	07/21/2017  00:20	
19	KE	MA	02/19/2018  01:50	
19	KE	RA	07/18/2018  05:17	
20	KE	JU	08/05/2019  17:35	
21	KE	SA	07/11/2020  15:11	
22	KE	ME	08/20/2021  10:50	
23	VE	VE	08/17/2022  15:47	
27	VE	SU	12/17/2025  03:47	
28	VE	MO	12/17/2026  09:47	
29	VE	MA	08/17/2028  03:47	
30	VE	RA	10/17/2029  06:47	
33	VE	JU	10/17/2032  00:47	
36	VE	SA	06/18/2035  00:47	
39	VE	ME	08/17/2038  15:47	
42	VE	KE	06/17/2041  12:47	
43	SU	SU	08/17/2042  15:47	
44	SU	MO	12/05/2042  05:35	
44	SU	MA	06/05/2043  20:35	
44	SU	RA	10/11/2043  16:41	
45	SU	JU	09/04/2044  10:05	
46	SU	SA	06/23/2045  14:53	
47	SU	ME	06/05/2046  14:35	
48	SU	KE	04/12/2047  01:41	
48	SU	VE	08/17/2047  21:47	
49	MO	MO	08/17/2048  03:47	
50	MO	MA	06/17/2049  12:47	
51	MO	RA	01/16/2050  14:17	
52	MO	JU	07/18/2051  11:17	
53	MO	SA	11/16/2052  11:17	
55	MO	ME	06/17/2054  18:47	
56	MO	KE	11/17/2055  05:17	
57	MO	VE	06/17/2056  06:47	
59	MO	SU	02/16/2058  00:47	
59	MA	MA	08/17/2058  15:47	
60	MA	RA	01/13/2059  19:14	
61	MA	JU	02/01/2060  07:32	
62	MA	SA	01/07/2061  05:08	
63	MA	ME	02/16/2062  00:47	
64	MA	KE	02/13/2063  05:44	
64	MA	VE	07/12/2063  09:11	
65	MA	SU	09/10/2064  12:11	
66	MA	MO	01/16/2065  08:17	
66	RA	RA	08/17/2065  09:47	
69	RA	JU	04/29/2068  13:59	
71	RA	SA	09/23/2070  04:23	
74	RA	ME	07/30/2073  03:29	
77	RA	KE	02/16/2076  12:47	
78	RA	VE	03/06/2077  01:05	
81	RA	SU	03/05/2080  19:05	
82	RA	MO	01/28/2081  12:29	
83	RA	MA	07/30/2082  09:29	
84	JU	JU	08/17/2083  21:47	
86	JU	SA	10/05/2085  02:35	
89	JU	ME	04/17/2088  09:47	
91	JU	KE	07/24/2090  07:23	
92	JU	VE	06/30/2091  04:59	
95	JU	SU	02/28/2094  04:59	
96	JU	MO	12/17/2094  09:47	
97	JU	MA	04/17/2096  09:47	
98	JU	RA	03/24/2097  07:23	
100	SA	SA	08/17/2099  21:47	
103	SA	ME	08/21/2102  16:50	
106	SA	KE	04/30/2105  19:59	
107	SA	VE	06/09/2106  15:38	
110	SA	SU	08/09/2109  06:38	
111	SA	MO	07/22/2110  06:20	
113	SA	MA	02/20/2112  13:50	
114	SA	RA	03/31/2113  09:29	
117	SA	JU	02/05/2116  08:35	
119	ME	ME	08/18/2118  15:47	
122	ME	KE	01/14/2121  07:14	
123	ME	VE	01/11/2122  12:11	
125	ME	SU	11/11/2124  09:11	
126	ME	MO	09/17/2125  20:17	
128	ME	MA	02/17/2127  06:47	
129	ME	RA	02/14/2128  11:44	
131	ME	JU	09/02/2130  21:02	
134	ME	SA	12/08/2132  18:38	
136	KE	KE	08/18/2135  21:47	
137	KE	VE	01/15/2136  01:14	
138	KE	SU	03/16/2137  04:14	
138	KE	MO	07/22/2137  00:20	
139	KE	MA	02/20/2138  01:50	
139	KE	RA	07/19/2138  05:17	
140	KE	JU	08/06/2139  17:35	
141	KE	SA	07/12/2140  15:11	
142	KE	ME	08/21/2141  10:50	
143	VE	VE	08/18/2142  15:47	
147	VE	SU	12/18/2145  03:47	
148	VE	MO	12/18/2146  09:47	
149	VE	MA	08/18/2148  03:47	
150	VE	RA	10/18/2149  06:47	
153	VE	JU	10/18/2152  00:47	
156	VE	SA	06/19/2155  00:47	
159	VE	ME	08/18/2158  15:47	
162	VE	KE	06/18/2161  12:47	
163	SU	SU	08/18/2162  15:47	
164	SU	MO	12/06/2162  05:35	
164	SU	MA	06/06/2163  20:35	
164	SU	RA	10/12/2163  16:41	
165	SU	JU	09/05/2164  10:05	
166	SU	SA	06/24/2165  14:53	
167	SU	ME	06/06/2166  14:35	
168	SU	KE	04/13/2167  01:41	
168	SU	VE	08/18/2167  21:47	
169	MO	MO	08/18/2168  03:47	
170	MO	MA	06/18/2169  12:47	
171	MO	RA	01/17/2170  14:17	
172	MO	JU	07/19/2171  11:17	
173	MO	SA	11/17/2172  11:17	
175	MO	ME	06/18/2174  18:47	
176	MO	KE	11/18/2175  05:17	
177	MO	VE	06/18/2176  06:47	
179	MO	SU	02/17/2178  00:47	
179	MA	MA	08/18/2178  15:47	
180	MA	RA	01/14/2179  19:14	
181	MA	JU	02/02/2180  07:32	
182	MA	SA	01/08/2181  05:08	
183	MA	ME	02/17/2182  00:47	
